"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID","Category","ScenarioName"
"1",2010,30906225.86,30906225.86,119287583.710719,119287583.710719,0.259090048591727,0.259090048591727,"BAU","BAU","BAU"
"2",2011,637475.109999999,31543700.97,125300062.894315,244587646.605035,0.00508758810869617,0.264177636700423,"BAU","BAU","BAU"
"3",2012,778906.34,32322607.31,131722341.138977,376309987.744011,0.00591324397414253,0.270090880674566,"BAU","BAU","BAU"
"4",2013,585011.300000001,32907618.61,138586489.938575,514896477.682586,0.00422127221967519,0.274312152894241,"BAU","BAU","BAU"
"5",2014,599531.850000001,33507150.46,145927280.23068,660823757.913266,0.00410842886300812,0.278420581757249,"BAU","BAU","BAU"
"6",2015,608383.93,34115534.39,153782421.156678,814606179.069945,0.0039561344230636,0.282376716180313,"BAU","BAU","BAU"
"7",2016,611396.950000003,34726931.34,162192820.77805,976798999.847994,0.00376956851152283,0.286146284691835,"BAU","BAU","BAU"
"8",2017,606559.119999997,35333490.46,171202870.833243,1148001870.68124,0.00354292610309558,0.289689210794931,"BAU","BAU","BAU"
"9",2018,593568.259999998,35927058.72,180860757.822673,1328862628.50391,0.00328190740294237,0.292971118197873,"BAU","BAU","BAU"
"10",2019,572707.539999999,36499766.26,191218802.93272,1520081431.43663,0.00299503778507339,0.295966155982947,"BAU","BAU","BAU"
"11",2020,544845.710000001,37044611.97,202333833.555201,1722415264.99183,0.00269280574793911,0.298658961730886,"BAU","BAU","BAU"
"12",2021,566545.329999998,37611157.3,214267589.4289,1936682854.42073,0.00264410185184818,0.301303063582734,"BAU","BAU","BAU"
"13",2022,586499.280000001,38197656.58,227087166.726882,2163770021.14761,0.00258270552428612,0.30388576910702,"BAU","BAU","BAU"
"14",2023,607117.109999999,38804773.69,240865503.740194,2404635524.88781,0.00252056479891307,0.306406333905933,"BAU","BAU","BAU"
"15",2024,628449.640000001,39433223.33,255681912.168217,2660317437.05602,0.00245793546626221,0.308864269372195,"BAU","BAU","BAU"
"16",2025,650576.530000001,40083799.86,271622658.421738,2931940095.47776,0.00239514823166879,0.311259417603864,"BAU","BAU","BAU"
"17",2026,673601.5,40757401.36,288781599.780395,3220721695.25816,0.00233256378007547,0.31359198138394,"BAU","BAU","BAU"
"18",2027,697592.43,41454993.79,307260880.72562,3527982575.98378,0.00227035875296778,0.315862340136907,"BAU","BAU","BAU"
"19",2028,722620.640000001,42177614.43,327171695.298025,3855154271.2818,0.00220868935297644,0.318071029489884,"BAU","BAU","BAU"
"20",2029,748749.979999997,42926364.41,348635121.909316,4203789393.19112,0.0021476607861521,0.320218690276036,"BAU","BAU","BAU"
"21",2030,776073.170000002,43702437.58,371783037.678704,4575572430.86982,0.00208743565829565,0.322306125934332,"BAU","BAU","BAU"
"22",2010,30903094.1312723,30903094.1312723,119293901.33952,119293901.33952,0.259050075353975,0.259061595289229,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"23",2011,637196.251186782,31540290.3824591,125306380.523116,244600281.862636,0.00508510618953865,0.264144878188851,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"24",2012,778161.658583988,32318452.041043,131728658.767777,376328940.630413,0.00590730723187427,0.270050506145969,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"25",2013,583800.582119212,32902252.6231623,138592807.567375,514921748.197788,0.00421234400519237,0.274261192013774,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"26",2014,597854.900841817,33500107.5240041,145933597.859481,660855346.057269,0.00409675982509175,0.27835638668975,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"27",2015,607706.130135453,34107813.6541395,153785579.973701,814640926.03097,0.00395164572802844,0.282307293519772,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"28",2016,608923.579548436,34716737.233688,162195979.595073,976836905.626043,0.00375424582698432,0.28606084154814,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"29",2017,603852.394311213,35320589.6279992,171206029.650266,1148042935.27631,0.00352705097796347,0.289587233230071,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"30",2018,590628.113418058,35911217.7414172,180863916.639696,1328906851.91601,0.00326559395810644,0.292852204030671,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"31",2019,569533.911549776,36480751.652967,191221961.749743,1520128813.66575,0.00297839174087723,0.295830006651943,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"32",2020,541438.547281288,37022190.2002483,202336992.372224,1722465806.03797,0.00267592465882484,0.298505374395252,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"33",2021,562904.585735257,37585094.7859836,214270748.245923,1936736554.2839,0.00262707154543186,0.301131923438168,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"34",2022,582624.903421583,38167719.6894051,227090325.543905,2163826879.8278,0.00256560864944878,0.303697041914417,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"35",2023,603009.069407649,38770728.7588128,240868662.557217,2404695542.38502,0.00250347663745759,0.306200058887308,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"36",2024,624107.892773774,39394836.6515866,255685070.98524,2660380613.37026,0.00244092426033666,0.308640552252931,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"37",2025,646001.046683019,40040837.6982696,271625817.238761,2932006430.60902,0.00237827557501715,0.311018424047309,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"38",2026,668792.247697009,40709629.9459666,288784758.597418,3220791189.20644,0.00231588485121315,0.313333930658595,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"39",2027,692549.391372176,41402179.3373388,307264039.542643,3528055228.74908,0.0022539226926881,0.315587499157505,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"40",2028,717343.782617548,42119523.1199563,327174854.115048,3855230082.86413,0.0021925394742143,0.317779707066357,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"41",2029,743239.290947154,42862762.4109035,348638280.726339,4203868363.59047,0.00213183500503364,0.319911231790891,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"42",2030,770328.626749266,43633091.0376527,371786196.495727,4575654560.08619,0.00207196672176107,0.321982908245743,"combination1.1","Q1","Pembangunan PLTS Terpusat Off Grid"
"43",2010,30908168.960913,30908168.960913,119287818.790458,119287818.790458,0.259105827185981,0.259106255866035,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"44",2011,637445.201848426,31545614.1627614,125300297.974054,244588116.764512,0.0050873398719325,0.264193527889834,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"45",2012,778876.423677114,32324490.5864385,131722576.218715,376310692.983227,0.00591300630488619,0.270106471705816,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"46",2013,584981.425975883,32909472.0124144,138586725.018313,514897418.00154,0.0042210494973352,0.274327459500948,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"47",2014,599502.063717678,33508974.0761321,145927515.310419,660824933.311959,0.00410821812762596,0.278435619386757,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"48",2015,608354.272295211,34117328.3484273,153782656.236417,814607589.548376,0.00395593552084287,0.28239149991763,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"49",2016,604027.457483253,34721355.8059106,162193055.857788,976800645.406164,0.00372412650029153,0.286115574486686,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"50",2017,594785.825416808,35316141.6313274,171203105.912982,1148003751.31915,0.00347415324181749,0.289589678662734,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"51",2018,578271.992559791,35894413.6238872,180860992.902411,1328864744.22156,0.00319732841935582,0.292786960705845,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"52",2019,554622.325674416,36449035.9495616,191219038.012459,1520083782.23402,0.00290045557931465,0.295687372442101,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"53",2020,524485.371803432,36973521.321365,202334068.634939,1722417850.86896,0.00259217528388525,0.298279506279633,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"54",2021,544423.688232305,37517945.0095973,214267824.508638,1936685675.37759,0.00254085600337235,0.300820323397743,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"55",2022,562909.952492559,38080854.9620899,227087401.806621,2163773077.18421,0.00247882510440589,0.3032991120229,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"56",2023,582353.712325364,38663208.6744152,240865738.819933,2404638816.00415,0.00241775237598537,0.305716830190149,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"57",2024,602805.785671003,39266014.4600862,255682147.247956,2660320963.2521,0.00235763737186708,0.308074435494386,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"58",2025,624199.030646287,39890213.4907325,271622893.501477,2931943856.75358,0.00229803542182976,0.310372440866464,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"59",2026,645903.807936765,40536117.2986693,288781717.320264,3220725574.07384,0.00223665062293554,0.312609077414909,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"60",2027,670127.749394422,41206245.0480637,307260998.265489,3527986572.33933,0.00218097237585422,0.31479003661105,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"61",2028,694789.149482593,41901034.1975463,327171812.837895,3855158385.17723,0.00212362166366344,0.316913645937022,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"62",2029,720625.082392884,42621659.2799392,348635239.449186,4203793624.62641,0.00206698864845508,0.31898062303981,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"63",2030,747728.267539505,43369387.5474787,371783155.218573,4575576779.84499,0.00201119458222875,0.320991806821093,"combination1.2","Q3","Pengembangan Teknik Budidaya Agroforestri"
"64",2010,30906098.2429502,30906098.2429502,119287825.639238,119287825.639238,0.259088453304693,0.259088894473826,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"65",2011,637486.353762031,31543584.5967122,125300304.822834,244588130.462072,0.00508766802014881,0.264176492669167,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"66",2012,778916.753369541,32322501.3500817,131722583.067495,376310713.529568,0.00591331216888162,0.270089740528605,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"67",2013,585020.949384636,32907522.2994664,138586731.867094,514897445.396662,0.00422133447771666,0.274311011506499,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"68",2014,599540.796507598,33507063.095974,145927522.159199,660824967.555861,0.00410848335966077,0.278419434927537,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"69",2015,608392.229860254,34115455.3258342,153782663.085197,814607630.641058,0.0039561821706989,0.282375560506198,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"70",2016,611404.654951638,34726859.9807858,162193062.706569,976800693.347627,0.00376961039361936,0.286145117455626,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"71",2017,606566.277642647,35333426.2584285,171203112.761762,1148003806.10939,0.00354296290445791,0.289688029864842,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"72",2018,593574.914138271,35927001.1725668,180860999.751192,1328864805.86058,0.00328193980435165,0.292969921941832,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"73",2019,541150.336335456,36468151.5089022,191219044.861239,1520083850.72182,0.002830002297774,0.295799879119231,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"74",2020,494519.40661537,36962670.9155176,202334075.48372,1722417926.20554,0.00244407376974503,0.298243910235132,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"75",2021,500641.760012873,37463312.6755305,214267831.357419,1936685757.56296,0.0023365232048191,0.300580393421811,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"76",2022,508765.324601877,37972078.0001323,227087408.655401,2163773166.21836,0.00224039425001284,0.302820750129796,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"77",2023,519241.365067687,38491319.3652,240865745.668713,2404638911.88707,0.00215572938205108,0.304976444306479,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"78",2024,532900.060309635,39024219.4255097,255682154.096736,2660321065.98381,0.00208422860872807,0.307060639913324,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"79",2025,548745.141695954,39572964.5672056,271622779.385997,2931943845.36981,0.00202024713441336,0.309080871585122,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"80",2026,566634.588793261,40139599.1559989,288781720.744655,3220725566.11446,0.00196215531693673,0.311043012417525,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"81",2027,586788.635226825,40726387.7912257,307261001.68988,3527986567.80434,0.00190974003208866,0.312952738885924,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"82",2028,608619.43197377,41335007.2231995,327171816.262285,3855158384.06662,0.00186024407275306,0.314812970261541,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"83",2029,632185.323285311,41967192.5464848,348635242.873576,4203793626.9402,0.00181331444886241,0.316626272828367,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"84",2030,657270.308056023,42624462.8545408,371783158.642963,4575576785.58316,0.0017678861798235,0.318394147892571,"combination1.3","Q3","Perlindungan dan Konservasi SDA"
"85",2010,30902330.0975258,30902330.0975258,119292311.404524,119292311.404524,0.259047123269621,0.259055744138959,"combination1.4","Q1","Pembangunan TPA"
"86",2011,637643.236742366,31539973.3342682,125304790.58812,244597101.992644,0.0050887378986037,0.264143117591172,"combination1.4","Q1","Pembangunan TPA"
"87",2012,779075.435860389,32319048.7701286,131727068.832781,376324170.825425,0.00591431543086542,0.270056176349172,"combination1.4","Q1","Pembangunan TPA"
"88",2013,585181.205378747,32904229.9755073,138591217.632379,514915388.457805,0.00422235416771481,0.274277289662757,"combination1.4","Q1","Pembangunan TPA"
"89",2014,599702.419862797,33503932.3953701,145932007.924485,660847396.38229,0.00410946459513614,0.278385582991485,"combination1.4","Q1","Pembangunan TPA"
"90",2015,608555.032593582,34112487.4279637,153787148.850483,814634545.232773,0.00395712539794362,0.282341602517242,"combination1.4","Q1","Pembangunan TPA"
"91",2016,611568.465677132,34724055.8936409,162197548.471854,976832093.704627,0.00377051608633441,0.286111074242265,"combination1.4","Q1","Pembangunan TPA"
"92",2017,606730.940156994,35330786.8337978,171207598.527048,1148039692.23167,0.00354383184728301,0.289653919352685,"combination1.4","Q1","Pembangunan TPA"
"93",2018,593740.286129787,35924527.1199276,180865485.516478,1328905177.74815,0.00328277274370125,0.292935759445869,"combination1.4","Q1","Pembangunan TPA"
"94",2019,572879.682803798,36497406.8027314,191223530.626525,1520128708.37468,0.00299586395527169,0.295930741693135,"combination1.4","Q1","Pembangunan TPA"
"95",2020,545017.888604637,37042424.6913361,202338561.249006,1722467269.62368,0.00269359377293346,0.298623501956055,"combination1.4","Q1","Pembangunan TPA"
"96",2021,566717.471231404,37609142.1625675,214272317.122704,1936739586.74639,0.00264484688848943,0.301267566838559,"combination1.4","Q1","Pembangunan TPA"
"97",2022,586671.31773969,38195813.4803072,227091894.420687,2163831481.16707,0.00258340932527025,0.303850242543371,"combination1.4","Q1","Pembangunan TPA"
"98",2023,607288.984560516,38803102.4648677,240870231.433999,2404701712.60107,0.00252122888305905,0.306370783466617,"combination1.4","Q1","Pembangunan TPA"
"99",2024,628621.297606703,39431723.7624744,255686639.862022,2660388352.46309,0.00245856137788791,0.308828699943026,"combination1.4","Q1","Pembangunan TPA"
"100",2025,650747.922289638,40082471.684764,271627386.115543,2932015738.57864,0.00239573752704312,0.311223833148837,"combination1.4","Q1","Pembangunan TPA"
"101",2026,673772.583552212,40756244.2683162,288786327.4742,3220802066.05284,0.00233311801651138,0.313556385069611,"combination1.4","Q1","Pembangunan TPA"
"102",2027,697763.165938139,41454007.4342544,307265608.419425,3528067674.47226,0.00227087948282736,0.315826734445387,"combination1.4","Q1","Pembangunan TPA"
